time[s], rv1_mhd[m/s], rv2_mhd[m/s], rv3_mhd[m/s], rv4_mhd[m/s], rv5_mhd[m/s], sampling_grid[1=yes;0=no]
0.213209 -0.338157 -0.513922 0.093396 -0.393597 -0.266202 0 
0.213904 0.772418 -0.534818 -0.434503 1.096611 -1.191456 1 
0.214598 0.934292 -0.333555 -0.133849 1.425121 -0.406356 0 
0.215293 0.094843 0.096886 -0.525158 -0.297004 -0.488903 0 
0.215987 0.918047 -0.571981 -0.128747 1.749783 -0.186850 0 
0.216682 0.017221 -0.465653 -0.185651 1.482586 0.154246 0 
0.217376 0.738735 -0.395681 -0.341155 0.435947 1.062458 0 
0.218071 -0.007088 0.379862 -1.070113 0.812909 0.355878 0 
0.218765 -0.392469 0.176755 -0.583423 1.319369 -0.169014 0 
0.219460 0.643916 0.118987 -0.635641 1.058260 0.349242 0 
0.220154 0.850552 -1.108282 -0.783710 1.532004 -0.269622 0 
0.220849 0.965335 -0.263387 -0.377637 0.497253 0.457317 0 
0.221543 -0.071842 -1.206787 -1.113980 1.532458 0.859036 0 
0.222238 0.042839 0.122112 -1.630011 -0.127271 0.466915 0 
0.222932 1.502778 0.336890 -0.344976 0.687528 0.303010 0 
0.223627 0.079970 -1.345880 0.761102 1.053787 -0.355678 0 
0.224321 0.444563 -0.218101 0.173390 -0.622463 0.842495 0 
0.225016 0.096398 0.588101 0.113126 -0.320927 1.167389 0 
0.225710 1.171375 0.397958 0.573700 0.600321 -0.105603 0 
0.226405 0.548356 -0.479577 -0.029872 0.022990 0.145214 0 
0.227099 -0.313410 -0.618699 -0.062473 0.069665 -0.304380 0 
0.227794 0.108766 0.979392 0.889577 -0.848618 0.519857 0 
0.228488 0.944823 -1.014952 -0.310666 -0.858390 0.310196 0 
0.229183 1.218440 -0.744499 -0.510646 -0.075418 1.441052 0 
0.229877 1.013536 0.049162 -0.036595 -0.292246 0.777479 0 
0.230572 -0.147243 -1.141023 0.558746 1.061039 0.336389 0 
0.231266 -0.164612 0.111386 -0.707351 -0.199893 -0.776372 0 
0.231961 0.349240 -0.093011 -0.450511 0.685429 0.315642 0 
0.232655 0.911869 -0.383731 -0.103906 -0.044316 1.127654 0 
0.233350 -0.481945 0.069996 -0.759392 0.346962 0.461934 0 
0.234044 -0.574184 0.865793 1.192025 0.048285 1.837822 0 
0.234739 1.106951 0.966081 -0.452613 0.304259 0.464589 0 
0.235433 -0.917840 0.866242 0.317766 -0.750439 1.269331 0 
0.236128 0.552876 -0.840418 0.995071 -0.273284 0.286126 0 
0.236822 0.217095 0.418757 -0.398820 0.521669 1.126070 0 
0.237516 -0.338371 -0.064454 -0.261967 -0.433406 0.128072 0 
0.238211 0.462124 0.270505 1.107781 0.054622 1.316322 0 
0.238905 1.533050 -1.313700 1.233901 0.003261 0.527686 0 
0.239600 -0.009903 -0.926422 0.175825 -0.214668 0.022244 0 
0.240294 -1.198552 1.166050 0.695623 -0.270132 0.419755 0 
0.240989 -0.923055 0.530859 0.554537 0.931053 -0.232869 0 
0.241683 0.677068 1.446052 0.860520 -0.556375 0.596778 0 
0.242378 0.068697 0.189903 1.239201 0.394648 1.457031 0 
0.243072 -0.353693 0.281647 1.319640 -0.608582 0.003887 0 
0.243767 -1.675197 0.169203 2.519832 -0.441039 0.001813 0 
0.244461 -0.056196 0.534585 -0.148146 -0.298050 0.512546 0 
0.245156 -0.259385 0.228490 0.965642 -0.051675 0.453954 1 
0.245850 -1.011004 0.777035 1.898927 0.072520 0.091905 0 
0.246545 0.025223 0.409468 0.525848 -0.816247 -0.098075 0 
0.247239 -0.477938 0.173764 0.718333 -0.347266 0.342197 0 
0.247934 -0.270255 -0.074022 0.588303 0.341415 0.900406 0 
0.248628 -0.171733 -0.254511 -0.015463 -0.290201 0.239705 0 
0.249323 -0.751016 -0.637767 0.523179 0.020618 0.719308 0 
0.250017 -0.159946 0.065967 1.529860 -0.017861 0.812456 0 
0.250712 -0.450632 0.460139 -0.104705 0.259527 0.800786 0 
0.251406 -1.394575 -1.003150 1.049222 0.699396 0.457491 0 
0.252101 0.337520 -0.327110 0.077108 -0.026329 0.023747 0 
0.252795 -0.156774 -1.406418 1.273669 -0.187254 0.376473 0 
0.253490 0.403252 -0.312008 0.546727 -0.642392 -0.391002 0 
0.254184 -2.167652 0.382080 1.479716 -0.053131 0.968364 0 
0.254879 -0.334616 -0.889187 0.353984 -0.346382 0.118201 0 
0.255573 -0.537807 -0.018620 0.501160 -0.718464 0.116056 0 
0.256268 -1.161923 0.373757 0.525414 0.024948 1.510989 0 
0.256962 0.130763 -1.119754 0.540747 -0.851880 -0.303057 0 
